iter	Passed	Remaining
0	141	141760
1	146	72874
2	149	49846
3	154	38426
4	158	31517
5	162	26947
6	166	23667
7	170	21129
8	174	19256
9	178	17719
10	182	16417
11	186	15385
12	190	14461
13	193	13626
14	195	12864
15	198	12183
16	199	11553
17	201	10990
18	203	10493
19	204	10036
20	206	9618
21	207	9217
22	208	8839
23	208	8489
24	209	8165
25	209	7866
26	210	7588
27	211	7329
28	211	7089
29	212	6864
30	212	6654
31	213	6459
32	214	6276
33	214	6104
34	215	5941
35	216	5786
36	216	5639
37	217	5499
38	217	5367
39	218	5241
40	218	5121
41	219	5009
42	220	4900
43	220	4798
44	221	4701
45	222	4608
46	222	4518
47	223	4433
48	224	4351
49	224	4271
50	225	4195
51	226	4124
52	226	4053
53	227	3984
54	228	3918
55	228	3854
56	229	3794
57	229	3734
58	230	3677
59	231	3623
60	231	3569
61	232	3517
62	233	3468
63	233	3419
64	234	3372
65	235	3326
66	235	3282
67	236	3239
68	236	3197
69	237	3156
70	238	3116
71	238	3077
72	239	3040
73	240	3003
74	240	2968
75	241	2934
76	242	2900
77	242	2867
78	243	2835
79	243	2804
80	244	2773
81	245	2744
82	245	2712
83	246	2684
84	246	2656
85	247	2629
86	248	2603
87	248	2577
88	249	2552
89	249	2527
90	250	2502
91	251	2478
92	251	2454
93	252	2432
94	253	2410
95	253	2388
96	254	2367
97	254	2346
98	255	2325
99	256	2304
100	256	2284
101	257	2265
102	257	2246
103	258	2227
104	259	2208
105	259	2190
106	260	2172
107	261	2157
108	261	2140
109	262	2123
110	263	2107
111	263	2090
112	264	2074
113	264	2058
114	265	2042
115	266	2027
116	266	2011
117	267	1996
118	267	1981
119	268	1966
120	268	1953
121	269	1938
122	269	1924
123	270	1911
124	271	1897
125	271	1884
126	272	1870
127	272	1858
128	273	1845
129	273	1833
130	274	1820
131	275	1808
132	275	1797
133	276	1785
134	276	1773
135	277	1762
136	277	1750
137	278	1739
138	279	1728
139	279	1718
140	280	1707
141	280	1695
142	281	1685
143	281	1675
144	282	1665
145	283	1655
146	283	1645
147	284	1635
148	284	1626
149	285	1616
150	285	1607
151	286	1598
152	287	1589
153	287	1580
154	288	1571
155	288	1562
156	289	1554
157	290	1545
158	290	1536
159	291	1528
160	291	1519
161	292	1511
162	292	1503
163	293	1495
164	293	1487
165	294	1479
166	295	1471
167	295	1464
168	296	1456
169	296	1449
170	297	1441
171	297	1434
172	298	1427
173	299	1420
174	299	1413
175	300	1406
176	301	1400
177	301	1393
178	302	1387
179	303	1380
180	303	1373
181	304	1367
182	304	1360
183	305	1354
184	305	1347
185	306	1341
186	307	1335
187	307	1328
188	308	1322
